<0000> ７月１９日(水);;;<0000> 19/07 (mer.)
<0001> 翌朝…;;;<0001> Le lendemain matin...
<0002> \{\m{A}}「………」;;;<0002> .........
<0003> 寝起きはいつになく最悪だった。;;;<0003> Mon réveil fut horrible.
<0004> \{\m{A}}「頭が痛い…」;;;<0004> J'ai mal à la tête...
<0005> 少しでも動かすと、がんがんする。;;;<0005> Il suffisait que je bouge un petit peu pour avoir l'impression qu'on me frappait le crâne.
<0006> \{\m{A}}「二日酔いとかいうやつか…」;;;<0006> C'est donc ça une gueule de bois...?
<0007> \{\m{A}}「このまま寝てよう…」;;;<0007> Je crois que je vais retourner dormir...
<0008> \{声}「わーっ！」;;;<0008> Waah !!
<0009> がんがんがん！;;;<0009> \bBoum boum boum\u !
<0010> 叫び声が頭に響く…。;;;<0010> Le cri résonnait dans ma tête.
<0011> \{\m{A}}（…一体朝っぱらから何事だ？）;;;<0011> ... Mais que pouvait-il bien se passer dès le matin ?
<0012> 俺は体を起こし、辺りを見回す。;;;<0012> Je me redressai, puis regardai autour de moi.
<0013> \{声}「わわわわっ」;;;<0013> Wah-wah-wah-wah !
<0014> 台所からだ。;;;<0014> Le bruit venait de la cuisine.
<0015> \{\m{A}}「うるさいぞ」;;;<0015> La ferme.
<0016> \{観鈴}「だって、またセミが換気扇からっ」;;;<0016> Mais, une cigale est encore sortie de l'arrivée d'air !
<0017> ミィィィーーーーンッ！;;;<0017> \bBzzzzzzzzz\u !
<0018> \{観鈴}「お願いっ」;;;<0018> Je t'en supplie !
<0019> \{\m{A}}「………」;;;<0019> .........
<0020> 面倒がかかる奴だ…。;;;<0020> Elle attire vraiment les ennuis...
<0021> ミィーーーーンッ！;;;<0021> \bBzzzzzzz\u !
<0022> セミを目で追う。;;;<0022> Je suivis la cigale du regard.
<0023> が、気持ち悪くて、視点が定まらない…。;;;<0023> Sauf que je me sentais tellement mal que je n'arrivais pas à me concentrer.
<0024> ぐわんぐわん…;;;<0024> J'avais la tête qui tournait...
<0025> \{\m{A}}「くそ…」;;;<0025> Bon sang...
<0026> セミの飛来位置を予測して、手を伸ばした。;;;<0026> J'essayai de prédire la trajectoire de la cigale, et tendis la main.
<0027> …むにゅ。;;;<0027> ... \bSplotch\u.
<0028> ずるずる…;;;<0028> \bTraîne traîne\u...
<0029> \{\m{A}}「ほら、いっちょうあがりだっ」;;;<0029> Hé, chaud devant !
<0030> ぱっ、と手を放す。;;;<0030> Je la libérai.
<0031> \{観鈴}「………」;;;<0031> .........
<0032> \{\m{A}}「どうしてフライパン持ったおまえがここにいる」;;;<0032> Qu'est-ce que tu fais avec une poêle à frire ici ?
