<0000> ７月１７日(月);;;<0000> 17/07 (lun.)
<0001> …風を切ってゆく。;;;<0001> ... Je vole au gré du vent.
<0002> …幾層もの雲を抜けてゆく。;;;<0002> ... Et traverse des couches et des couches de nuages.
<0003> どこまでも、どこまでも高みへ。;;;<0003> Toujours plus loin, vers des hauteurs infinies.
<0004> 胸の動悸が早い。;;;<0004> Mon cœur bat à cent à l'heure.
<0005> 体はもう、崩れ落ちそうで…でも全身の力を振り絞って…;;;<0005> Mon corps est sur le point de se désintégrer... mais je rassemble toutes mes forces...
<0006> その場所を目指していた…;;;<0006> ... pour pouvoir atteindre cet endroit...
<0007> ………。;;;<0007> ...........
<0008> ……。;;;<0008> .......
<0009> …。;;;<0009> ....
<0010> 俺は地面に降り立つ。;;;<0010> Mes pieds touchèrent le sol.
<0011> もわっとした熱気とバスの残した排気に包まれる。;;;<0011> Je baignais à la fois dans l'air chaud étouffant et la fumée lâchée par le bus.
<0012> 立ちくらみを覚え、目を閉じる。;;;<0012> Ma tête commençait à tourner, alors je fermai les yeux.
<0013> 遠ざかってゆくバスのエンジンの音が聞こえなくなると、入れ替わりセミの大群の声が押し寄せてきた。;;;<0013> Le bus s'éloigna, et les bruits de moteur durent remplacés par les chants d'une armée de cigales.
<0014> 息を吸うと、潮の匂いが鼻をつく。;;;<0014> Je pris ma respiration et fus assailli par l'odeur caractéristique de la marée.
<0015> 陽光は何にも遮られることなく首筋を焼き続けていた。;;;<0015> Rien n'empêchait les rayons du soleil de me brûler la nuque.
<0016> 俺はゆっくり目を開ける。;;;<0016> J'ouvris lentement mes yeux.
<0017> 広がるのは、見知らぬ土地の夏の光景。;;;<0017> Un panorama inconnu s'offrait à moi.
<0018> \{\m{A}}「ど田舎だ…」;;;<0018> C'est la campagne...
<0019> 俺はバス停のベンチに腰を下ろす。;;;<0019> Je m'assis sur le banc de l'arrêt de bus.
<0020> \{\m{A}}「ふぅ…」;;;<0020> Fiou...
<0021> 何本かささくれだった木がケツに刺さっているが、気にしないことにする。;;;<0021> Un certain nombre d'échardes étaient encore plantées dans mes fesses, mais je décidai de ne pas y payer attention.
<0022> \{\m{A}}「で…なんだ。俺はこんなところで何をしてるんだ…」;;;<0022> Déjà... qu'est-ce que je fais dans un endroit pareil ?
<0023> 暑さで思考がうまく回らない。;;;<0023> La chaleur m'empêchait de bien réfléchir.
<0024> \{\m{A}}「ラーメンセットひとつ」;;;<0024> Un rāmen !
<0025> …違う。;;;<0025> ... Ce n'était pas ça.
<0026> そっか…;;;<0026> Ah, oui...
<0027> \{\m{A}}「金が底を尽いたんだった」;;;<0027> J'ai plus de sous.
<0028> それで、こんなへんぴな町で下車することになったんだ。;;;<0028> De ce fait, j'avais dû descendre du bus dans ce trou paumé.
<0029> そもそも飯を食う金さえもない。;;;<0029> En fait, je n'avais même pas l'argent pour un repas. 
<0030> ラーメンセットなんて、夢のまた夢だ。;;;<0030> Donc mon rāmen, même pas en rêve.
<0031> となれば、稼ぐしかない。;;;<0031> Il fallait donc que je me fasse de l'argent.
<0032> ここで一稼ぎできれば、すぐにも出立できるのだが…;;;<0032> Et une fois que j'aurai des sous, je m'en irais sans attendre.
<0033> 俺は辺りを見回す。;;;<0033> Je regardai autour de moi.
<0034> するとちょうど、ランドセルを背負った幼い姉弟が目の前を通りすぎるところだった。;;;<0034> Juste à ce moment-là, je vis une fille et son petit frère passer devant moi, des sacs en cuir sur le dos.
<0035> ツイている。;;;<0035> J'avais de la veine.
<0036> \{\m{A}}「おい、そこの子供」;;;<0036> Hé, les enfants, là !
<0037> 俺は呼び止める。;;;<0037> Je les stoppai.
<0038> \{子供たち}「ん？」;;;<0038> Hmm ?
<0039> ふたりの顔がこちらを向く。;;;<0039> Un paire de visages se tournèrent vers moi.
<0040> \{\m{A}}「今からお兄さんが、芸を見せてやるからな」;;;<0040> Je vais vous montrer un petit numéro !
<0041> 俺はズボンの後ろのポケットに突っ込んであった人形を取り出すとそれを地面に寝かせる。;;;<0041> Je fourrai ma main dans la poche arrière de mon pantalon et en sortis une marionnette, que j'allongeai par terre.
<0042> \{\m{A}}「さあ、楽しい人形劇の始まりだ」;;;<0042> Le super spectacle de marionnettes va commencer ! 
<0043> 俺はその真上に手をかざし、念を込めた。;;;<0043> Je positionnai ma main juste au-dessus d'elle, et commençai à me concentrer.
<0044> するとそれが、ぴょこりと起きる。;;;<0044> La marionnette bondit alors pour atterrir debout.
<0045> これで、俺の意志で自由に動く。;;;<0045> Puis elle se mit à bouger au gré de ma volonté.
<0046> とことことこ…;;;<0046> \bPadoum padoum padoum\u...
<0047> 人形が歩きはじめる。;;;<0047> La marionnette se mit à marcher.
<0048> \{\m{A}}「どうだ、すごいだろう。楽しいだろう」;;;<0048> Alors ? C'est pas génial ? C'est pas fun ?
<0049> 俺は子供ふたりの顔を見る。;;;<0049> Je scrutais chacun de leurs visages.
<0050> \{男の子}「朝顔の成長記録、なんてどうかな」;;;<0050> Et si on allait regarder si les liserons ont bien poussé ?
<0051> \{女の子}「あ、それいいね」;;;<0051> Ah, bonne idée.
<0052> 違う話をしていた。;;;<0052> Ils parlaient d'autre chose.
<0053> \{\m{A}}（こいつら…）;;;<0053> Ces gosses...
<0054> まぁいい。こっちは芸を見せたことには変わりはないんだから。;;;<0054> Peu importe. Ça ne changeait rien au fait que je leur avais fait voir mon numéro.
<0055> \{\m{A}}「な、おまえたち、お兄ちゃんの芸を見たんだから払うものがあるだろ？」;;;<0055> Hé, les gamins, je vous ai montré mon spectacle. Vous avez de quoi payer ?
<0056> \{男の子}「さっきから、このひとひとりで何いってるの？」;;;<0056> Mais qu'est-ce qu'il raconte, depuis tout à l'heure ?
<0057> \{女の子}「たかし、無視しないとダメっ」;;;<0057> Takahi, il faut l'ignorer !
<0058> \{男の子}「あ、これ蹴りながら帰ろうよ」;;;<0058> Ah, je vais donner un coup de pied à ce truc et le renvoyer d'où il vient !
<0059> 男の子が、俺の足下を見ていた。;;;<0059> Il regardait mes pieds.
<0060> そこには俺の人形。;;;<0060> Là où se trouvait ma marionnette.
<0061> 手を伸ばすが、一歩遅かった。;;;<0061> Je tendis la main, mais c'était trop tard.
<0062> ぼむっ！;;;<0062> Bam !
<0063> 人形は空の彼方へと、かっとんでいった。;;;<0063> La marionnette décolla et s'envola dans le ciel.
<0064> \{女の子}「たかしっ、早くこっち来なさい！」;;;<0064> Takashi, viens ici tout de suite !
<0065> \{男の子}「ばいばいぶー」;;;<0065> Bye bye bouh~ !
<0066> 姉弟は逃げるように去っていった。;;;<0066> La fille et son petit frère s'enfuirent, me laissant en plan.
<0067> ひょおおおおおぉぉぉぉ…;;;<0067> Wouuuuuuuuush...
<0068> 後には、荒涼とした風が吹くばかりだった。;;;<0068> J'étais maintenant seul, mis à part un vent maussade qui me soufflait dessus et me glaçait.
<0069> いや、違う。寒いのは俺の心だけだ。;;;<0069> Enfin, nan. La seule chose qu'on avait glacée, c'était mon cœur.
<0070> 相変わらず、辺りはうだるような熱気が立ちこめている。;;;<0070> L'air chaud continuait à m'écraser. Ça, ça ne changeait pas.
<0071> \{\m{A}}「ふぅ…」;;;<0071> Fiou...
<0072> 俺はベンチに再び座り込む。;;;<0072> Je m'assis de nouveau sur le banc.
<0073> \{\m{A}}「で、なんだっけ…」;;;<0073> Déjà... qu'est-ce que je faisais ?
<0074> \{\m{A}}「ラーメンセット」;;;<0074> Un rāmen !
<0075> …違う。;;;<0075> ... C'était pas ça.
<0076> 思い出した。;;;<0076> Je m'en souvins.
<0077> \{\m{A}}「人形を探しにいかないと…」;;;<0077> Faut bien que j'aille retrouver ma marionnette...
<0078> 俺は立ち上がる。;;;<0078> Je me levai.
<0079> \{\m{A}}「どこまで飛んでいったんだよ…」;;;<0079> Jusqu'où a-t-elle bien pu voler ?
<0080> 歩きながら、顔を上げる。;;;<0080> En marchant, je levai un peu la tête.
<0081> その先には閉ざすものなく、空が広がっていた。;;;<0081> Mon regard se noya dans l'immensité du ciel.
<0082> 遮へい物のひとつもない。;;;<0082> Rien ne gênait la vue.
<0083> 空と地上が目の高さでふたつに割れている。;;;<0083> Le ciel et la terre se séparaient nettement à la hauteur de mes yeux.
<0084> \{\m{A}}（やっぱ田舎だな…）;;;<0084> On est vraiment à la campagne, hein...
<0085> さらに顎を高くあげて、視界から地上の物を消す。;;;<0085> Je levai le mention et tout ce qui était sur la terre quitta mon champ de vision.
<0086> 一面が青に染まった。;;;<0086> Tout était bleu.
<0087> \{\m{A}}「………」;;;<0087> .........
<0088> すると、ついさっきバスに揺られて見ていた夢の続きを見ているような気がした。;;;<0088> En faisant ça, j'avais l'impression de reprendre le rêve que j'avais fait en étant bercé par les ballotements du bus.
<0089> そう、あれは確かに夢だった。;;;<0089> Oui, ce devait avoir été un rêve...
