<0000> ７月２１日(金)／そら;;;<0000> 21/07 (ven.)/Sora
<0001> \{みすず}「そら、おはよー」;;;<0001> Sora, salut—.
<0002> ………。;;;<0002> ..........
<0003> \{みすず}「あれ？」;;;<0003> Tiens ?
<0004> \{みすず}「まだ寝てる？」;;;<0004> Il dort encore ?
<0005> つんつん。;;;<0005> \bPouic pouic\u.
<0006> \{みすず}「そら、朝だよー」;;;<0006> Sora, c'est le matin—.
<0007> むくっ。;;;<0007> 
<0008> 頭をあげる。;;;<0008> 
<0009> が…すぐ重くなって、おろす。;;;<0009> 
<0010> \{みすず}「どうしたのかなー。元気ないな、そら」;;;<0010> 
<0011> \{みすず}「調子悪いのかな」;;;<0011> 
<0012> 彼女が話しかけてくれている。;;;<0012> 
<0013> がんばって、顔をあげる。;;;<0013> 
<0014> が…すぐさがる。;;;<0014> 
<0015> \{みすず}「もしかして、お母さんに誘われて、お酒飲んでたとか」;;;<0015> 
<0016> \{みすず}「そんなわけないよねー」;;;<0016> 
<0017> \{みすず}「そら、カラスだもんね。お母さんも、飲ませないよね」;;;<0017> 
<0018> \{みすず}「んー、だったら調子悪いのかな」;;;<0018> 
<0019> \{みすず}「心配」;;;<0019> 
<0020> \{みすず}「用意してる間、ひとりにしてだいじょうぶかな」;;;<0020> 
<0021> \{みすず}「だいじょうぶ？」;;;<0021> 
<0022> もう一度、がんばって顔をあげる。;;;<0022> 
<0023> じっと彼女の顔を見つめる。;;;<0023> 
<0024> \{みすず}「うん。よしよし」;;;<0024> 
<0025> \{みすず}「そらは強い子」;;;<0025> 
<0026> \{みすず}「じゃ、用意してくるねー」;;;<0026> 
<0027> 出ていった。;;;<0027> 
<0028> 戻ってくるまで、休んでいよう…。;;;<0028> 
<0029> すぐによくなればいいのだけど。;;;<0029> 
<0030> しばらくじっとしている。;;;<0030> 
<0031> ………。;;;<0031> ..........
<0032> \{声}「うーん、どうしたらいいのかなー」;;;<0032> 
<0033> \{声}「お母さんが買ってくれたぬいぐるみ、欲しい」;;;<0033> 
<0034> がちゃり。;;;<0034> 
<0035> \{みすず}「うーん、うーん」;;;<0035> 
<0036> うなりながら、彼女は戻ってきた。;;;<0036> 
<0037> \{みすず}「あ…そら、だいじょうぶかな」;;;<0037> 
<0038> \{みすず}「そら、元気になった？」;;;<0038> 
<0039> つんつん。;;;<0039> \bPouic pouic\u.
<0040> つつかれる。;;;<0040> 
<0041> 応えるようにして、その手をつついた。;;;<0041> 
<0042> つんつん。;;;<0042> \bPouic pouic\u.
<0043> \{みすず}「元気になったみたい。よかった」;;;<0043> 
<0044> 肩に乗せられる。;;;<0044> 
<0045> \{みすず}「わっ…時間ないんだった」;;;<0045> Wah...! J'ai plus le temps.
<0046> \{みすず}「いってきまーす」;;;<0046> Je pars !
<0047> また陽がのぼる。;;;<0047> 
<0048> ねぐらを出たところで、彼女は見知らぬ女と立ち話をした。;;;<0048> 
<0049> \{みすず}「何か、日雇いで人手を探しているところ、知らないですか？」;;;<0049> 
<0050> \{女}「日雇いでアルバイト？」;;;<0050> Un petit boulot à la journée ?
<0051> \{みすず}「ええ」;;;<0051> Oui.
<0052> \{女}「観鈴ちゃんが？」;;;<0052> Pour toi ?
<0053> \{みすず}「ちがいます。このひと」;;;<0053> Non. Pour lui.
<0054> 彼女の指さす先…男がいた。;;;<0054> La fille désigna quelque chose du doigt... C'était l'homme qui se trouvait là.
<0055> \{女}「あぁ、そのひと…」;;;<0055> Aah, lui...
<0056> \{女}「力仕事、いける？」;;;<0056> Tu sais y faire avec le travail manuel ?
<0057> \{みすず}「いけるよね」;;;<0057> Tu peux, dis ?
<0058> \{男}「ああ、ばっちりだ」;;;<0058> Ouais, ce serait parfait.
<0059> \{女}「それだったら、あるわよ」;;;<0059> Dans ce cas, j'ai quelque chose pour toi.
<0060> 男がいきなり逆さまになる。;;;<0060> 
<0061> そこからさらに激しく上下に揺れた。;;;<0061> 
